Date	Venue	Location	Ignore
May 24, 2010	Milton Keynes Theatre	Milton Keynes, United Kingdom	 I Was There
May 22, 2010	Ipswich Regent Theatre	Ipswich, United Kingdom	 I Was There
May 21, 2010	Ipswich Regent Theatre	Ipswich, United Kingdom	 I Was There
Apr 25, 2010	Belfast Waterfront	Belfast, United Kingdom	 I Was There
Apr 24, 2010	Belfast Waterfront	Belfast, United Kingdom	 I Was There
Apr 23, 2010	Belfast Waterfront	Belfast, United Kingdom	 I Was There
Mar 28, 2010	S.E.C.C.	Glasgow, United Kingdom	 I Was There
Mar 27, 2010	S.E.C.C.	Glasgow, United Kingdom	 I Was There
Mar 26, 2010	S.E.C.C.	Glasgow, United Kingdom	 I Was There
Mar 23, 2010	Royal Albert Hall	London, United Kingdom	 I Was There
Mar 20, 2010	Harrogate International Centre	Harrogate, United Kingdom	 I Was There
Mar 19, 2010	Huddersfield Town Hall	Huddersfield, United Kingdom	 I Was There
Mar 13, 2010	Plaza Theatre	Stockport, United Kingdom	 I Was There
Mar 07, 2010	Royal & Derngate	Northampton, United Kingdom	 I Was There
Mar 06, 2010	Royal & Derngate	Northampton, United Kingdom	 I Was There
Feb 26, 2010	Dudley Concert Hall	Dudley, United Kingdom	 I Was There
Feb 20, 2010	Bath Pavilion	Bath, United Kingdom	 I Was There
Feb 19, 2010	Bath Pavilion	Bath, United Kingdom	 I Was There
Feb 15, 2010	Dartford Orchard Theatre	Dartford, United Kingdom	 I Was There
Feb 12, 2010	De Montfort Hall	Leicester, United Kingdom	 I Was There	
Feb 06, 2010	Aberystwyth Arts Centre	Aberystwyth, United Kingdom	 I Was There
Feb 05, 2010	Grand Theatre	Swansea, United Kingdom	 I Was There
Feb 04, 2010	Cheltenham Town Hall	Cheltenham, United Kingdom	 I Was There
Feb 02, 2010	Alban Arena	St Albans, United Kingdom	 I Was There
Jan 26, 2010	Anvil	Basingstoke, United Kingdom	 I Was There
Jan 17, 2010	Sunderland Empire	Sunderland, United Kingdom	 I Was There
Dec 16, 2009	Worthing Assembly Hall	Worthing, United Kingdom	 I Was There
Dec 15, 2009	Dorking Halls	Dorking, United Kingdom	 I Was There
Dec 13, 2009	HMV Hammersmith Apollo	London, United Kingdom	 I Was There
Dec 12, 2009	HMV Hammersmith Apollo	London, United Kingdom	 I Was There
Dec 11, 2009	HMV Hammersmith Apollo	London, United Kingdom	 I Was There
Dec 10, 2009	Cambridge Corn Exchange	Cambridge, United Kingdom	 I Was There
Dec 09, 2009	Hackney Empire	London, United Kingdom	 I Was There
Dec 06, 2009	O2 Academy Brixton	London, United Kingdom	 I Was There
Dec 05, 2009	New Theatre Oxford	Oxford, United Kingdom	 I Was There
