Date	Venue	Location	Ignore
Oct 13, 2007	House of Blues	Las Vegas, NV	 I Was There
Oct 12, 2007	Spreckels Theatre	San Diego, CA	 I Was There
Oct 06, 2007	Barrymore Theatre	Madison, WI	 I Was There
Oct 05, 2007	Uptown Theater	Kansas City, MO	 I Was There
Sep 29, 2007	Count Basie Theatre	Red Bank, NJ	 I Was There
Sep 28, 2007	Tarrytown Music Hall	Tarrytown, NY	 I Was There
Sep 23, 2007	McCurdy's Comedy Theatre	Sarasota, FL	 I Was There
Sep 22, 2007	McCurdy's Comedy Theatre	Sarasota, FL	 I Was There
Sep 21, 2007	McCurdy's Comedy Theatre	Sarasota, FL	 I Was There
Sep 20, 2007	McCurdy's Comedy Theatre	Sarasota, FL	 I Was There
Sep 18, 2007	Canyon Club	Agoura Hills, CA	 I Was There
Sep 15, 2007	Tweeter Center	Camden, NJ	 I Was There
Sep 14, 2007	Seminole Hard Rock Hotel	Hollywood, FL	 I Was There
Sep 14, 2007	Hard Rock Live	Orlando, FL	 I Was There
Sep 06, 2007	Rex Theatre	Pittsburgh, PA	 I Was There
Aug 25, 2007	PNC Bank Arts Center	Woodbridge, NJ	 I Was There
Aug 18, 2007	Nissan Pavilion	Bristow, VA	 I Was There
Aug 04, 2007	DTE Energy Music Theatre	Clarkston, MI	 I Was There
Jun 30, 2007	Mohegan Sun Arena	Uncasville, CT	 I Was There
Jun 16, 2007	Northwell Health @ Jones Beach Theater	Wantagh, NY	 I Was There
