Date	Venue	Location	Ignore
Jan 12, 2008	Elgin Theatre	Toronto, Canada	 I Was There
Dec 31, 2007	Pabst Theater	Milwaukee, WI	 I Was There
Dec 30, 2007	Pabst Theater	Milwaukee, WI	 I Was There
Dec 18, 2007	Crash Mansion	New York, NY	 I Was There
Dec 01, 2007	Warner Theatre	Washington, DC	 I Was There
Nov 30, 2007	Warner Theatre	Washington, DC	 I Was There
Nov 24, 2007	Pearl Concert Theater at Palms Casino Resort	Las Vegas, NV	 I Was There
Nov 17, 2007	Fox Theatre	Detroit, MI	 I Was There
Nov 04, 2007	Paramount Theatre	Seattle, WA	 I Was There
Nov 03, 2007	Paramount Theatre	Seattle, WA	 I Was There
Nov 02, 2007	Expo Center	Portland, OR	 I Was There
Oct 13, 2007	Orpheum Theatre	Minneapolis, MN	 I Was There
Oct 12, 2007	Orpheum Theatre	Minneapolis, MN	 I Was There
Sep 29, 2007	Tower Theatre	Upper Darby, PA	 I Was There
Sep 07, 2007	Elliott Hall of Music	West Lafayette, IN	 I Was There
Sep 02, 2007	Riverside Casino and Resort	Riverside, IA	 I Was There
Aug 19, 2007	Mountain Winery	Saratoga, CA	 I Was There
Aug 18, 2007	Silver Legacy Casino	Reno, NV	 I Was There
Aug 16, 2007	Humphreys Concerts By the Bay	San Diego, CA	 I Was There
Aug 11, 2007	The Pines Theater	Northampton, MA	 I Was There
Jul 27, 2007	Pechanga Resort & Casino	Temecula, CA	 I Was There
Jul 22, 2007	Sunset Festival	Newport, RI	 I Was There
Jul 21, 2007	South Shore Mall	Hingham, MA	 I Was There
Jul 20, 2007	Cape Cod Melody Tent	West Harwich, MA	 I Was There
Jul 19, 2007	Hampton Beach Casino Ballroom	Hampton Beach, NH	 I Was There
Jul 13, 2007	Castle Theater	Maui, HI	 I Was There
Jul 07, 2007	Neal S Blaisdell Concert Hall	Honolulu, HI	 I Was There
