word,n,name,rf
romantic,4,Amy Schumer,0.001034393586759762
sayin,4,Amy Schumer,0.001034393586759762
school,4,Amy Schumer,0.001034393586759762
sexy,4,Amy Schumer,0.001034393586759762
shot,4,Amy Schumer,0.001034393586759762
sir,4,Amy Schumer,0.001034393586759762
sister,4,Amy Schumer,0.001034393586759762
start,4,Amy Schumer,0.001034393586759762
talk,4,Amy Schumer,0.001034393586759762
ten,4,Amy Schumer,0.001034393586759762
tits,4,Amy Schumer,0.001034393586759762
told,4,Amy Schumer,0.001034393586759762
totally,4,Amy Schumer,0.001034393586759762
trash,4,Amy Schumer,0.001034393586759762
walked,4,Amy Schumer,0.001034393586759762
wet,4,Amy Schumer,0.001034393586759762
won,4,Amy Schumer,0.001034393586759762
word,4,Amy Schumer,0.001034393586759762
words,4,Amy Schumer,0.001034393586759762
wrong,4,Amy Schumer,0.001034393586759762
20,3,Amy Schumer,7.757951900698216e-4
33,3,Amy Schumer,7.757951900698216e-4
50,3,Amy Schumer,7.757951900698216e-4
actress,3,Amy Schumer,7.757951900698216e-4
actual,3,Amy Schumer,7.757951900698216e-4
aids,3,Amy Schumer,7.757951900698216e-4
alcoholic,3,Amy Schumer,7.757951900698216e-4
amazing,3,Amy Schumer,7.757951900698216e-4
angry,3,Amy Schumer,7.757951900698216e-4
animals,3,Amy Schumer,7.757951900698216e-4
apartment,3,Amy Schumer,7.757951900698216e-4
ass,3,Amy Schumer,7.757951900698216e-4
ballet,3,Amy Schumer,7.757951900698216e-4
bar,3,Amy Schumer,7.757951900698216e-4
bill,3,Amy Schumer,7.757951900698216e-4
blacking,3,Amy Schumer,7.757951900698216e-4
blind,3,Amy Schumer,7.757951900698216e-4
blush,3,Amy Schumer,7.757951900698216e-4
boy,3,Amy Schumer,7.757951900698216e-4
breakfast,3,Amy Schumer,7.757951900698216e-4
brought,3,Amy Schumer,7.757951900698216e-4
bust,3,Amy Schumer,7.757951900698216e-4
butthole,3,Amy Schumer,7.757951900698216e-4
calls,3,Amy Schumer,7.757951900698216e-4
change,3,Amy Schumer,7.757951900698216e-4
choose,3,Amy Schumer,7.757951900698216e-4
chose,3,Amy Schumer,7.757951900698216e-4
clip,3,Amy Schumer,7.757951900698216e-4
color,3,Amy Schumer,7.757951900698216e-4
comics,3,Amy Schumer,7.757951900698216e-4
condom,3,Amy Schumer,7.757951900698216e-4
control,3,Amy Schumer,7.757951900698216e-4
cooper,3,Amy Schumer,7.757951900698216e-4
cranberry,3,Amy Schumer,7.757951900698216e-4
